Country.Name,year,GDP
Czech Republic,X1963,NA
Germany,X1963,NA
Djibouti,X1963,NA
Dominica,X1963,NA
Denmark,X1963,8316692386
Dominican Republic,X1963,940799900
Algeria,X1963,2703014867
Ecuador,X1963,1038389642
Egypt,X1963,NA
Eritrea,X1963,NA
Spain,X1963,19074913948
Estonia,X1963,NA
Ethiopia,X1963,NA
Finland,X1963,6885920329
Fiji,X1963,129454728.6
France,X1963,85551113767
Faroe Islands,X1963,NA
Micronesia,X1963,NA
Gabon,X1963,154480244.2
UK,X1963,85443766670
Georgia,X1963,NA
Ghana,X1963,1540797517
Gibraltar,X1963,NA
Guinea,X1963,NA
Gambia,X1963,NA
Guinea-Bissau,X1963,NA
Equatorial Guinea,X1963,10840095.13
Greece,X1963,5949478035
Grenada,X1963,NA
Greenland,X1963,NA
Guatemala,X1963,1262800000
Guam,X1963,NA
Guyana,X1963,175756868.7
"Hong Kong SAR, China",X1963,1935298266
Honduras,X1963,410200000
Croatia,X1963,NA
Haiti,X1963,NA
Hungary,X1963,NA
Indonesia,X1963,NA
Isle of Man,X1963,NA
India,X1963,47776000900
Ireland,X1963,2430843768
Iran,X1963,4928628018
Iraq,X1963,1978437693
Iceland,X1963,340061650.1
Israel,X1963,2992333333
Italy,X1963,57710743060
Jamaica,X1963,826690466.2
Jordan,X1963,NA
Japan,X1963,69498131797
Kazakhstan,X1963,NA
Kenya,X1963,926589348.6
Kyrgyzstan,X1963,NA
Cambodia,X1963,728571437.1
Kiribati,X1963,NA
St. Kitts and Nevis,X1963,12833226.39
South Korea,X1963,3988246109
Kuwait,X1963,NA
Laos,X1963,NA
Lebanon,X1963,NA
Liberia,X1963,200229600
Libya,X1963,NA
Saint Lucia,X1963,NA
Liechtenstein,X1963,NA
Sri Lanka,X1963,1240672269
Lesotho,X1963,47039059.22
Lithuania,X1963,NA
Luxembourg,X1963,791140595.8
Latvia,X1963,NA
"Macao SAR, China",X1963,NA
Saint Martin,X1963,NA
Morocco,X1963,2657247327
Monaco,X1963,NA
Moldova,X1963,NA
Madagascar,X1963,759345863
Maldives,X1963,NA
Mexico,X1963,1.70E+10
Marshall Islands,X1963,NA
Macedonia,X1963,NA
Mali,X1963,NA
Malta,X1963,NA
Myanmar,X1963,NA
Montenegro,X1963,NA
Mongolia,X1963,NA
Northern Mariana Islands,X1963,NA
Mozambique,X1963,NA
Mauritania,X1963,113797356.8
Mauritius,X1963,NA
Malawi,X1963,190816183.7
Malaysia,X1963,2510126748
Namibia,X1963,NA
New Caledonia,X1963,NA
Niger,X1963,586294761.5
Nigeria,X1963,5165489010
Nicaragua,X1963,NA
Netherlands,X1963,15891241386
Norway,X1963,6510239503
Nepal,X1963,496947904.4
Nauru,X1963,NA
New Zealand,X1963,6638937283
Oman,X1963,NA
Pakistan,X1963,4540529105
Panama,X1963,722784500
Peru,X1963,3600957771
Philippines,X1963,4875309866
Palau,X1963,NA
Papua New Guinea,X1963,275968039.5
Poland,X1963,NA
Puerto Rico,X1963,2333600000
North Korea,X1963,NA
Portugal,X1963,3905734460
Paraguay,X1963,NA
French Polynesia,X1963,NA
Qatar,X1963,NA
Romania,X1963,NA
